reel_id,posting_day,posting_time,niche,trending_audio,reel_length_seconds,hook_type,first_frame_type,views,likes,shares,saves,skip_rate,comments,performance
1,Saturday,17:30,Student+Funny,Yes,7,Wordplay,Text+Face,3400000,182000,152000,7400,28.6,429,Explosive
2,Sunday,21:30,College+Cinematic,Yes,12,Curiosity,Scene,2700000,159000,51900,12500,27.1,558,Explosive
3,Thursday,17:00,Student+Funny,No,7,Shock,Text+Face,2500000,168000,130000,3200,25.0,180,Explosive
4,Tuesday,21:45,Cinematic,No,10,Relatable,Scene,6400,250,19,8,56.6,17,Bad
5,Wednesday,16:00,Student+Funny,Yes,10,Relatable,Text+Face,9600,306,91,6,45.0,27,Bad
6,Friday,17:30,College,Yes,8,Curiosity,Text+Face,362000,7392,6400,451,31.5,124,Viral
7,Monday,19:30,Gym,Yes,8,Transformation,Text+Body,5300,104,4,6,46.4,29,Bad
8,Sunday,18:30,Gym,Yes,9,Curiosity,Text+Body,6700,185,3,5,51.4,45,Bad
9,Thursday,20:30,College+Vlog,No,16,Challenge,Group,16600,357,102,17,40.5,4,Mid
10,Friday,16:30,Student+Funny,Yes,8,Wordplay,Text+Scene,15900,581,112,6,44.5,10,Mid
11,Tuesday,18:00,Friendship,Yes,10,Relatable,Group,8100,317,105,13,53.4,11,Bad
12,Wednesday,17:00,Student+Funny,Yes,9,Relatable,Face,9100,311,28,2,41.3,15,Bad
13,Saturday,16:30,Cinematic,No,9,Relatable,Scene,2800,135,2,0,65.1,4,Bad
14,Friday,17:00,Student+Funny,Yes,12,Relatable,Text+Face,1700000,156000,40000,3800,42.8,256,Explosive
15,Thursday,17:30,Gym,Yes,12,Emotional,Text+Body,15900,393,18,13,48.0,76,Mid
16,Friday,21:30,Funny,Yes,11,Shock,Text+Face,253000,14500,1853,1100,33.5,26,Viral
17,Thursday,18:00,Cinematic,Yes,9,Relatable,Scene+Face,338000,27000,17000,678,47.6,56,Viral
18,Thursday,19:30,Cinematic,Yes,8,Emotional,Scene,2200000,215000,49000,17000,42.3,313,Explosive
